id,Registration_Interval_Days,Age,City,Country,Recruitment_Generation,Gender,Number_of_Recruits,Heard_From,Recruiter_id,Recruiter_Age,Recruiter_City,Recruiter_Country,Recruiter_Gender,Recruiter_Number_of_Recruits,Recruiter_Heard_From,Same_Heard_From_as_Recruiter,Location_Comparison,Recruiter_Join_Date_Numeric_Days,,Same_Gender_as_Recruiter,Heard_Through_Medium,Recruiter_Heard_Through_Medium,Heard_Through_Same_Medium_as_Recruiter,Same_Age_as_Recruiter,Distance_from_Recruiter,Same_City_as_Recruiter,Same_Country_as_Recruiter,Has_Recruits
125,18.7216,2,,United Kingdom,1,male,0,2,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,0,1,4,0,1,271.832,2,1,FALSE
126,18.7304,2,,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,unknown,15133.11131,,1,1,4,0,1,271.832,2,1,FALSE
127,18.7645,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
128,18.77,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
129,18.7759,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
130,18.9131,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
131,18.9201,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
132,18.925,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
133,19.0563,unknown,,United Kingdom,1,female,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,1,1,4,0,2,271.832,2,1,FALSE
134,19.1024,unknown,,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,2,1,4,0,2,271.832,2,1,FALSE
135,19.4326,2,London,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,Different City,15133.11131,,1,1,4,0,1,211.302,0,1,FALSE
137,19.616,unknown,Stoke,United Kingdom,1,female,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,1,1,4,0,2,56.8062,0,1,FALSE
138,0.2525,unknown,Reading,United Kingdom,1,unknown,0,0,136,2,Reading,United Kingdom,female,24,5,2,Same City,15152.55799,,2,0,4,2,2,0,1,1,FALSE
139,0.2541,2,Palatine,United States,1,male,0,1,136,2,Reading,United Kingdom,female,24,5,0,Different Country,15152.55799,,0,4,4,1,1,6313.38,0,0,FALSE
140,0.2697,2,,Germany,1,male,0,3,136,2,Reading,United Kingdom,female,24,5,0,unknown,15152.55799,,0,4,4,1,1,794.263,2,0,FALSE
141,19.7177,unknown,,United Kingdom,1,female,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,unknown,15133.11131,,1,4,4,1,2,271.832,2,1,FALSE
142,0.2861,2,Singapore,Singapore,1,male,0,3,136,2,Reading,United Kingdom,female,24,5,0,Different Country,15152.55799,,0,4,4,1,1,10917.4,0,0,FALSE
143,0.3205,2,Riyadh,Saudi Arabia,1,male,1,1,136,2,Reading,United Kingdom,female,24,5,0,Different Country,15152.55799,,0,4,4,1,1,4997.67,0,0,TRUE
144,19.791,unknown,London,United Kingdom,1,female,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,1,1,4,0,2,211.302,0,1,FALSE
145,19.8199,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
146,19.8255,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
147,19.8313,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
148,19.8481,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
150,19.8789,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
151,19.8896,unknown,Farnborough,United Kingdom,1,female,0,1,64,2,Chesterfield,United Kingdom,female,142,3,0,Different City,15133.11131,,1,1,4,0,2,221.425,0,1,FALSE
152,19.8958,2,Farnborough,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,0,1,4,0,1,221.425,0,1,FALSE
153,0.0001,3,,United Kingdom,1,male,0,4,994,3,Newbury,United Kingdom,female,1,4,1,unknown,15157.58772,,0,6,6,1,1,463.939,2,1,FALSE
154,19.9046,4,Farnborough,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,0,1,4,0,0,221.425,0,1,FALSE
155,19.9249,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
156,19.9297,unknown,Farnborough,United Kingdom,1,male,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,0,1,4,0,2,221.425,0,1,FALSE
157,19.9485,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
158,19.9525,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
159,19.9654,unknown,Farnborough,United Kingdom,1,unknown,0,0,64,2,Chesterfield,United Kingdom,female,142,3,2,Different City,15133.11131,,2,1,4,0,2,221.425,0,1,FALSE
160,4.2388,unknown,Rock Hill,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,1,0,6,2,2,3677.71,0,1,FALSE
161,4.2399,unknown,,Canada,1,male,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,1,0,6,2,2,1444.45,2,0,FALSE
162,4.2404,unknown,Everett,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,1,0,6,2,2,42.5863,0,1,FALSE
163,4.2407,3,Glasgow,United Kingdom,1,female,0,100,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,0,4,6,0,0,7155.34,0,0,FALSE
164,4.2426,unknown,,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,1,0,6,2,2,2463.78,2,1,FALSE
166,4.2433,2,,United Kingdom,1,female,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,0,0,6,2,1,7229.77,2,0,FALSE
167,4.2435,unknown,Farnborough,United Kingdom,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,1,0,6,2,2,7694.82,0,0,FALSE
168,4.2435,unknown,Columbus,United States,1,female,1,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,0,0,6,2,2,3233.19,0,1,TRUE
169,4.2445,3,Alcabideche,Portugal,1,female,0,1,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,0,4,6,0,0,8352.8,0,0,FALSE
170,4.2445,unknown,Cincinnati,United States,1,female,2,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,0,0,6,2,2,3166.22,0,1,TRUE
171,4.246,3,Southampton,Canada,1,female,0,100,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,0,0,6,2,0,2954.99,0,0,FALSE
173,4.2471,unknown,Newbury,United Kingdom,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,1,0,6,2,2,7660.34,0,0,FALSE
174,4.2474,unknown,Rogers,United States,1,female,1,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,0,0,6,2,2,2628.06,0,1,TRUE
175,4.248,3,Plymouth,United Kingdom,1,male,21,3,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,1,4,6,0,0,7625.18,0,0,TRUE
176,4.2482,unknown,London,United Kingdom,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,1,0,6,2,2,7701.99,0,0,FALSE
177,4.2485,2,Fairfax,United States,1,female,0,5,97,2,Seattle,United States,male,305,5,1,Different City,15148.91922,,0,4,6,0,1,3720.62,0,1,FALSE
178,4.2492,unknown,,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,1,0,6,2,2,2463.78,2,1,FALSE
179,4.2493,unknown,,United States,1,female,0,0,97,2,Seattle,United States,male,305,5,2,unknown,15148.91922,,0,0,6,2,2,2463.78,2,1,FALSE
180,4.2494,3,Atlanta,United States,1,female,0,100,97,2,Seattle,United States,male,305,5,0,Different City,15148.91922,,0,4,6,0,0,3506.78,0,1,FALSE
181,0.0058,unknown,Cincinnati,United States,2,male,0,0,170,unknown,Cincinnati,United States,female,2,0,2,Same City,15153.16376,,0,1,0,2,2,0,1,1,FALSE
182,4.2514,unknown,Wallingford,United Kingdom,1,female,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,0,0,6,2,2,7651.43,0,0,FALSE
183,4.2524,2,,United Kingdom,1,female,2,100,97,2,Seattle,United States,male,305,5,0,unknown,15148.91922,,0,4,6,0,1,7229.77,2,0,TRUE
184,0.0045,3,London,United Kingdom,2,female,0,1,175,3,Plymouth,United Kingdom,male,21,3,0,Different City,15153.16722,,0,4,4,1,1,307.971,0,1,FALSE
185,0.0096,3,Columbus,United States,2,female,0,0,168,unknown,Columbus,United States,female,1,0,2,Same City,15153.16275,,1,4,0,2,2,0,1,1,FALSE
186,4.2549,unknown,Brodhead,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,1,0,6,2,2,2624.78,0,1,FALSE
187,4.2612,unknown,Calgary,Canada,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,1,0,6,2,2,710.827,0,0,FALSE
188,4.2616,unknown,London,United Kingdom,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different Country,15148.91922,,1,0,6,2,2,7701.99,0,0,FALSE
189,4.2631,unknown,Minneapolis,United States,1,male,0,0,97,2,Seattle,United States,male,305,5,2,Different City,15148.91922,,1,0,6,2,2,2239.39,0,1,FALSE
190,4.2685,3,Coquitlam,Canada,1,male,2,100,97,2,Seattle,United States,male,305,5,0,Different Country,15148.91922,,1,4,6,0,0,189.662,0,0,TRUE
191,0.0013,unknown,Coquitlam,Canada,2,male,0,0,190,3,Coquitlam,Canada,male,2,100,2,Same City,15153.1877,,1,0,4,2,2,0,1,1,FALSE
